Timestamp,Sleep Stage
2025-02-22 23:00:00,Light
2025-02-22 23:01:00,Light
2025-02-22 23:02:00,Light
2025-02-22 23:03:00,Light
2025-02-22 23:04:00,Light
2025-02-22 23:05:00,Light
2025-02-22 23:06:00,Light
2025-02-22 23:07:00,Light
2025-02-22 23:08:00,Light
2025-02-22 23:09:00,Light
2025-02-22 23:10:00,Light
2025-02-22 23:11:00,Light
2025-02-22 23:12:00,Light
2025-02-22 23:13:00,Light
2025-02-22 23:14:00,Light
2025-02-22 23:15:00,Light
2025-02-22 23:16:00,Light
2025-02-22 23:17:00,Light
2025-02-22 23:18:00,Light
2025-02-22 23:19:00,Light
2025-02-22 23:20:00,Light
2025-02-22 23:21:00,Light
2025-02-22 23:22:00,Light
2025-02-22 23:23:00,Light
2025-02-22 23:24:00,Light
2025-02-22 23:25:00,Light
2025-02-22 23:26:00,Light
2025-02-22 23:27:00,Light
2025-02-22 23:28:00,Deep
2025-02-22 23:29:00,Deep
2025-02-22 23:30:00,Deep
2025-02-22 23:31:00,Deep
2025-02-22 23:32:00,Deep
2025-02-22 23:33:00,Deep
2025-02-22 23:34:00,Deep
2025-02-22 23:35:00,Deep
2025-02-22 23:36:00,Deep
2025-02-22 23:37:00,Deep
2025-02-22 23:38:00,Deep
2025-02-22 23:39:00,Deep
2025-02-22 23:40:00,Deep
2025-02-22 23:41:00,Deep
2025-02-22 23:42:00,Deep
2025-02-22 23:43:00,Deep
2025-02-22 23:44:00,Deep
2025-02-22 23:45:00,REM
2025-02-22 23:46:00,REM
2025-02-22 23:47:00,REM
2025-02-22 23:48:00,REM
2025-02-22 23:49:00,REM
2025-02-22 23:50:00,REM
2025-02-22 23:51:00,REM
2025-02-22 23:52:00,REM
2025-02-22 23:53:00,REM
2025-02-22 23:54:00,REM
2025-02-22 23:55:00,Awake
2025-02-22 23:56:00,Light
2025-02-22 23:57:00,Light
2025-02-22 23:58:00,Light
2025-02-22 23:59:00,Light
2025-02-23 00:00:00,Light
2025-02-23 00:01:00,Light
2025-02-23 00:02:00,Light
2025-02-23 00:03:00,Light
